Alternative_Id,AlternativeDescription,ForProductId,Image
1,metal straw,1,../../Images/AlternativesImages/MetalStraw.jpg
2,bamboo straw,1,../../Images/AlternativesImages/BambooStraw.jpg
3,cardboard straw,1,../../Images/AlternativesImages/CardboardStraw.jpg
4,keep cup,2,../../Images/AlternativesImages/keepcup.jpg
5,don’t take away,2,../../Images/AlternativesImages/DontTakeAway.png
6,compostable cup,2,../../Images/AlternativesImages/CompostableCup.jpg
7,metal cutlery,3,../../Images/AlternativesImages/metalCutlery.jpg
8,bamboo cutlery,3,../../Images/AlternativesImages/BambooCutlery.jpg
9,waxed cloth,6,../../Images/AlternativesImages/WaxCloth.jpg
10,Cloth bag,31,../../Images/AlternativesImages/ClothBag.jpg
11,paper lanterns,12,../../Images/AlternativesImages/PaperLanterns.jpg
12,bamboo cotton bud,16,../../Images/AlternativesImages/BambooCottonBuds.jpg
13,cloth wipe,19,../../Images/AlternativesImages/ClothWipe.jpg
14,Cloth case,23,../../Images/AlternativesImages/ClothCase.jpg
15,metal tin,23,../../Images/AlternativesImages/MetalPencilCase.jpg
16,metal ruler,24,../../Images/AlternativesImages/MetalRuler.jpg
17,metal refillable pen,25,../../Images/AlternativesImages/MetalRefillablePen.jpg
18,B2P (Bottle to Pen),25,../../Images/AlternativesImages/B2P.png
19,eco-pen,28,../../Images/AlternativesImages/EcoPen.png
20,PVC-Free eraser,29,../../Images/AlternativesImages/PVCFreeEraser.jpeg
21,wood/graphite pencil,26,../../Images/AlternativesImages/WoodGraphitePencil.png
22,wooden ruler,24,../../Images/AlternativesImages/WoodenRuler.jpg
23,natural fiber clothing,34,../../Images/AlternativesImages/NaturalFibreClothing.png
24,Metal drink bottle,4,../../Images/AlternativesImages/MetalDrinkBottle.png
25,Re-usable plastic drink bottle,4,../../Images/AlternativesImages/ReusableDrinkBottle.png
Alternative_Id,AlternativeDescription,ForProductId,Images
1,metal straw,1,
2,bamboo straw,1,
3,cardboard straw,1,
4,keep cup,2,
5,don’t take away,2,
6,compostable cup,2,
7,metal cutlery,3,
8,bamboo cutlery,3,
9,waxed cloth,6,
10,Cloth bag,11,
11,paper lanterns,12,
12,bamboo cotton bud,16,
13,cloth wipe,19,
14,Cloth case,23,
15,metal tin,23,
16,metal ruler,24,
17,metal refillable pen,25,
18,B2P (Bottle to Pen),25,
19,eco-pen,28,
20,PVC-Free eraser,29,
21,wood/graphite pencil,26,
22,wooden ruler,24,
23,natural fiber clothing,34,
24,Metal drink bottle,4,
25,Re-usable plastic drink bottle,4,
